instance,tree_file,inference_time_seconds
G_l_512_n_100_0_0.02_86.phy,G_l_512_n_100_0_0.02_86.tre,183.398000
G_l_512_n_100_0_0.02_91.phy,G_l_512_n_100_0_0.02_91.tre,196.603237
G_l_512_n_100_0_0.02_92.phy,G_l_512_n_100_0_0.02_92.tre,218.715682
G_l_512_n_100_0_0.02_96.phy,G_l_512_n_100_0_0.02_96.tre,247.988408
G_l_512_n_100_0_0.02_97.phy,G_l_512_n_100_0_0.02_97.tre,239.327870
G_l_512_n_100_0_0.02_99.phy,G_l_512_n_100_0_0.02_99.tre,179.714938
G_l_512_n_100_0_0.03_100.phy,G_l_512_n_100_0_0.03_100.tre,192.251172
G_l_512_n_100_0_0.03_106.phy,G_l_512_n_100_0_0.03_106.tre,195.149947
G_l_512_n_100_0_0.03_11.phy,G_l_512_n_100_0_0.03_11.tre,172.886467
G_l_512_n_100_0_0.03_110.phy,G_l_512_n_100_0_0.03_110.tre,176.567713
G_l_512_n_100_0_0.03_112.phy,G_l_512_n_100_0_0.03_112.tre,190.477278
G_l_512_n_100_0_0.03_114.phy,G_l_512_n_100_0_0.03_114.tre,207.391142
G_l_512_n_100_0_0.03_118.phy,G_l_512_n_100_0_0.03_118.tre,206.035677
G_l_512_n_100_0_0.03_12.phy,G_l_512_n_100_0_0.03_12.tre,192.093414
G_l_512_n_100_0_0.03_123.phy,G_l_512_n_100_0_0.03_123.tre,184.203535
G_l_512_n_100_0_0.03_125.phy,G_l_512_n_100_0_0.03_125.tre,197.617069
G_l_512_n_100_0_0.03_127.phy,G_l_512_n_100_0_0.03_127.tre,172.224931
G_l_512_n_100_0_0.03_30.phy,G_l_512_n_100_0_0.03_30.tre,181.266409
G_l_512_n_100_0_0.03_32.phy,G_l_512_n_100_0_0.03_32.tre,185.339425
G_l_512_n_100_0_0.03_38.phy,G_l_512_n_100_0_0.03_38.tre,176.526016
G_l_512_n_100_0_0.03_40.phy,G_l_512_n_100_0_0.03_40.tre,213.326715
G_l_512_n_100_0_0.03_41.phy,G_l_512_n_100_0_0.03_41.tre,183.837513
G_l_512_n_100_0_0.03_6.phy,G_l_512_n_100_0_0.03_6.tre,217.159794
G_l_512_n_100_0_0.03_61.phy,G_l_512_n_100_0_0.03_61.tre,171.963477
