instance,tree_file,inference_time_seconds
7072.aln,7072.tre,0.125992
7076.aln,7076.tre,0.861814
7077.aln,7077.tre,0.200268
7081.aln,7081.tre,0.293191
7083.aln,7083.tre,0.861144
7089.aln,7089.tre,0.758966
7090.aln,7090.tre,0.633817
7091.aln,7091.tre,0.300500
7092.aln,7092.tre,0.916441
7093.aln,7093.tre,0.968358
7095.aln,7095.tre,1.387077
7097.aln,7097.tre,0.947931
7098.aln,7098.tre,0.321903
7100.aln,7100.tre,0.895348
7105.aln,7105.tre,0.184702
7108.aln,7108.tre,0.283117
7109.aln,7109.tre,0.179001
7111.aln,7111.tre,0.082992
7112.aln,7112.tre,0.820084
7115.aln,7115.tre,0.671100
7116.aln,7116.tre,0.780274
7117.aln,7117.tre,0.507920
7121.aln,7121.tre,0.495441
7122.aln,7122.tre,0.434001
7124.aln,7124.tre,0.436109
7125.aln,7125.tre,0.220828
7126.aln,7126.tre,0.877941
7130.aln,7130.tre,0.233265
7132.aln,7132.tre,1.122208
7134.aln,7134.tre,0.686910
7135.aln,7135.tre,0.604234
7136.aln,7136.tre,0.522334
7137.aln,7137.tre,0.332373
7140.aln,7140.tre,0.881325
7143.aln,7143.tre,0.217678
7144.aln,7144.tre,0.144668
7146.aln,7146.tre,1.076077
7147.aln,7147.tre,0.931655
7149.aln,7149.tre,0.689706
7152.aln,7152.tre,0.407418
7154.aln,7154.tre,0.571370
7155.aln,7155.tre,1.125607
7157.aln,7157.tre,0.882859
7159.aln,7159.tre,0.552162
7160.aln,7160.tre,0.333669
7161.aln,7161.tre,1.318976
7162.aln,7162.tre,0.775694
7163.aln,7163.tre,0.139313
7165.aln,7165.tre,0.816147
7166.aln,7166.tre,0.646151
7168.aln,7168.tre,0.850995
7169.aln,7169.tre,0.325824
7170.aln,7170.tre,0.828768
7172.aln,7172.tre,0.593455
7173.aln,7173.tre,0.269440
7174.aln,7174.tre,0.884316
7176.aln,7176.tre,0.423571
7180.aln,7180.tre,0.855107
7181.aln,7181.tre,0.869723
7183.aln,7183.tre,0.615532
7184.aln,7184.tre,1.275114
7185.aln,7185.tre,0.348718
7186.aln,7186.tre,0.999062
7188.aln,7188.tre,0.533245
7189.aln,7189.tre,0.106021
7194.aln,7194.tre,0.247939
7203.aln,7203.tre,0.060507
7212.aln,7212.tre,0.624423
7214.aln,7214.tre,0.824288
7216.aln,7216.tre,0.347969
7217.aln,7217.tre,0.280093
7220.aln,7220.tre,0.681253
7223.aln,7223.tre,0.800002
7225.aln,7225.tre,1.244071
7230.aln,7230.tre,0.208122
7231.aln,7231.tre,0.564951
7234.aln,7234.tre,0.610626
7235.aln,7235.tre,0.254430
7242.aln,7242.tre,0.890848
7245.aln,7245.tre,0.544999
7250.aln,7250.tre,0.598450
7251.aln,7251.tre,0.603808
7253.aln,7253.tre,0.968693
7254.aln,7254.tre,0.072174
7255.aln,7255.tre,0.889610
7260.aln,7260.tre,1.028694
7261.aln,7261.tre,0.869818
7263.aln,7263.tre,0.429035
7264.aln,7264.tre,0.053348
7265.aln,7265.tre,0.246485
7268.aln,7268.tre,1.033503
7269.aln,7269.tre,0.493007
7270.aln,7270.tre,0.556468
7274.aln,7274.tre,0.614711
7275.aln,7275.tre,0.721597
7276.aln,7276.tre,0.890852
7282.aln,7282.tre,0.678444
7283.aln,7283.tre,0.654202
7285.aln,7285.tre,0.366101
7288.aln,7288.tre,0.520970
7289.aln,7289.tre,0.241500
7296.aln,7296.tre,0.653132
7298.aln,7298.tre,0.556589
7299.aln,7299.tre,0.499543
7300.aln,7300.tre,0.153030
7302.aln,7302.tre,0.465812
7303.aln,7303.tre,0.454427
7307.aln,7307.tre,0.329511
7310.aln,7310.tre,0.603882
7312.aln,7312.tre,0.826302
7313.aln,7313.tre,1.041874
7314.aln,7314.tre,0.837000
7318.aln,7318.tre,0.916449
7320.aln,7320.tre,0.202196
7321.aln,7321.tre,0.138956
7324.aln,7324.tre,0.406520
7325.aln,7325.tre,0.525295
7327.aln,7327.tre,1.081235
7329.aln,7329.tre,0.829347
7343.aln,7343.tre,0.462102
7346.aln,7346.tre,0.089649
7349.aln,7349.tre,0.253053
7353.aln,7353.tre,0.559747
7358.aln,7358.tre,0.199296
7368.aln,7368.tre,0.842957
7369.aln,7369.tre,0.192971
7371.aln,7371.tre,0.220075
7376.aln,7376.tre,0.405065
7378.aln,7378.tre,0.600865
7379.aln,7379.tre,0.072957
7381.aln,7381.tre,0.420505
7384.aln,7384.tre,0.495331
7386.aln,7386.tre,0.206892
7388.aln,7388.tre,0.543054
7389.aln,7389.tre,0.452187
7392.aln,7392.tre,0.995319
7394.aln,7394.tre,0.406112
7396.aln,7396.tre,0.434986
7398.aln,7398.tre,0.482453
7402.aln,7402.tre,0.612849
7403.aln,7403.tre,0.300716
7404.aln,7404.tre,0.945759
7407.aln,7407.tre,0.707098
7408.aln,7408.tre,0.678166
7412.aln,7412.tre,0.063835
7413.aln,7413.tre,0.102839
7417.aln,7417.tre,0.378453
7418.aln,7418.tre,0.692225
7420.aln,7420.tre,0.170384
7423.aln,7423.tre,0.698271
7424.aln,7424.tre,0.366070
7425.aln,7425.tre,0.203352
7426.aln,7426.tre,0.435724
7429.aln,7429.tre,0.556704
7432.aln,7432.tre,0.901235
7435.aln,7435.tre,0.224924
7457.aln,7457.tre,0.120152
7458.aln,7458.tre,0.429332
7461.aln,7461.tre,0.815803
7462.aln,7462.tre,0.745668
7472.aln,7472.tre,0.486341
7474.aln,7474.tre,0.221708
7478.aln,7478.tre,0.309250
7479.aln,7479.tre,0.580925
7481.aln,7481.tre,0.512896
7483.aln,7483.tre,0.350079
7486.aln,7486.tre,0.208127
7487.aln,7487.tre,0.830531
7489.aln,7489.tre,0.314656
7490.aln,7490.tre,0.283840
7498.aln,7498.tre,0.672118
7506.aln,7506.tre,0.051924
7508.aln,7508.tre,0.590326
7510.aln,7510.tre,1.094722
7511.aln,7511.tre,0.425168
7512.aln,7512.tre,0.575725
7514.aln,7514.tre,0.723595
7518.aln,7518.tre,0.084514
7522.aln,7522.tre,0.885978
7523.aln,7523.tre,0.900517
7526.aln,7526.tre,0.459543
7531.aln,7531.tre,0.213586
7533.aln,7533.tre,0.232467
7535.aln,7535.tre,0.387508
7536.aln,7536.tre,0.719084
7541.aln,7541.tre,0.101996
7544.aln,7544.tre,0.658685
7546.aln,7546.tre,0.125288
7547.aln,7547.tre,0.564404
7548.aln,7548.tre,0.931170
7549.aln,7549.tre,0.201348
7552.aln,7552.tre,0.654157
7553.aln,7553.tre,0.772865
7555.aln,7555.tre,0.379659
7559.aln,7559.tre,0.607595
7562.aln,7562.tre,1.315584
7563.aln,7563.tre,0.267767
7564.aln,7564.tre,0.120233
7566.aln,7566.tre,0.342930
7569.aln,7569.tre,0.425288
7570.aln,7570.tre,0.713841
7593.aln,7593.tre,0.193901
7596.aln,7596.tre,0.701796
7601.aln,7601.tre,0.307858
7602.aln,7602.tre,0.382640
7603.aln,7603.tre,0.669822
7606.aln,7606.tre,0.541356
7614.aln,7614.tre,0.062716
7617.aln,7617.tre,0.558612
7624.aln,7624.tre,0.652519
7627.aln,7627.tre,0.171174
7629.aln,7629.tre,0.305588
7630.aln,7630.tre,0.503611
7631.aln,7631.tre,0.335958
7634.aln,7634.tre,0.996818
7637.aln,7637.tre,0.316706
7640.aln,7640.tre,0.934543
7642.aln,7642.tre,0.121237
7647.aln,7647.tre,0.444893
7652.aln,7652.tre,0.303324
7653.aln,7653.tre,0.281445
7657.aln,7657.tre,0.232917
7660.aln,7660.tre,0.287920
7667.aln,7667.tre,0.602051
7670.aln,7670.tre,0.318338
7683.aln,7683.tre,0.222773
7684.aln,7684.tre,0.582170
7686.aln,7686.tre,0.306096
7696.aln,7696.tre,0.315075
7705.aln,7705.tre,0.078984
7711.aln,7711.tre,0.207840
7713.aln,7713.tre,0.988095
7714.aln,7714.tre,0.608163
7719.aln,7719.tre,0.198703
7720.aln,7720.tre,0.611699
7721.aln,7721.tre,0.665428
7726.aln,7726.tre,0.284640
7747.aln,7747.tre,0.351239
7756.aln,7756.tre,0.707762
7760.aln,7760.tre,0.462571
7762.aln,7762.tre,0.387771
