instance,tree_file,inference_time_seconds
G_l_512_n_50_0_0.02_25.phy,G_l_512_n_50_0_0.02_25.tre,162.611044
G_l_512_n_50_0_0.02_28.phy,G_l_512_n_50_0_0.02_28.tre,175.495857
G_l_512_n_50_0_0.02_32.phy,G_l_512_n_50_0_0.02_32.tre,169.157017
G_l_512_n_50_0_0.02_35.phy,G_l_512_n_50_0_0.02_35.tre,164.772299
G_l_512_n_50_0_0.02_36.phy,G_l_512_n_50_0_0.02_36.tre,164.471524
G_l_512_n_50_0_0.02_37.phy,G_l_512_n_50_0_0.02_37.tre,167.660574
G_l_512_n_50_0_0.02_46.phy,G_l_512_n_50_0_0.02_46.tre,169.986747
G_l_512_n_50_0_0.02_53.phy,G_l_512_n_50_0_0.02_53.tre,161.536090
G_l_512_n_50_0_0.02_57.phy,G_l_512_n_50_0_0.02_57.tre,172.566159
G_l_512_n_50_0_0.02_6.phy,G_l_512_n_50_0_0.02_6.tre,166.973534
G_l_512_n_50_0_0.02_65.phy,G_l_512_n_50_0_0.02_65.tre,171.177273
G_l_512_n_50_0_0.02_67.phy,G_l_512_n_50_0_0.02_67.tre,181.181025
G_l_512_n_50_0_0.02_7.phy,G_l_512_n_50_0_0.02_7.tre,162.381196
G_l_512_n_50_0_0.02_72.phy,G_l_512_n_50_0_0.02_72.tre,161.346041
G_l_512_n_50_0_0.02_73.phy,G_l_512_n_50_0_0.02_73.tre,159.374382
G_l_512_n_50_0_0.02_80.phy,G_l_512_n_50_0_0.02_80.tre,172.413087
G_l_512_n_50_0_0.02_85.phy,G_l_512_n_50_0_0.02_85.tre,164.987092
G_l_512_n_50_0_0.02_9.phy,G_l_512_n_50_0_0.02_9.tre,158.236118
G_l_512_n_50_0_0.02_95.phy,G_l_512_n_50_0_0.02_95.tre,159.935383
G_l_512_n_50_0_0.03_0.phy,G_l_512_n_50_0_0.03_0.tre,162.863526
G_l_512_n_50_0_0.03_107.phy,G_l_512_n_50_0_0.03_107.tre,159.025237
G_l_512_n_50_0_0.03_12.phy,G_l_512_n_50_0_0.03_12.tre,165.415226
