instance,tree_file,inference_time_seconds
G_l_512_n_20_0_0.04_26.phy,G_l_512_n_20_0_0.04_26.tre,0.157998
G_l_512_n_20_0_0.04_3.phy,G_l_512_n_20_0_0.04_3.tre,0.156751
G_l_512_n_20_0_0.04_41.phy,G_l_512_n_20_0_0.04_41.tre,0.157071
G_l_512_n_20_0_0.04_44.phy,G_l_512_n_20_0_0.04_44.tre,0.158542
G_l_512_n_20_0_0.04_49.phy,G_l_512_n_20_0_0.04_49.tre,0.156690
G_l_512_n_20_0_0.04_55.phy,G_l_512_n_20_0_0.04_55.tre,0.156684
G_l_512_n_20_0_0.04_57.phy,G_l_512_n_20_0_0.04_57.tre,0.158079
G_l_512_n_20_0_0.04_60.phy,G_l_512_n_20_0_0.04_60.tre,0.163476
G_l_512_n_20_0_0.04_61.phy,G_l_512_n_20_0_0.04_61.tre,0.163205
G_l_512_n_20_0_0.04_62.phy,G_l_512_n_20_0_0.04_62.tre,0.164282
G_l_512_n_20_0_0.04_67.phy,G_l_512_n_20_0_0.04_67.tre,0.162106
G_l_512_n_20_0_0.04_71.phy,G_l_512_n_20_0_0.04_71.tre,0.159772
G_l_512_n_20_0_0.04_88.phy,G_l_512_n_20_0_0.04_88.tre,0.160058
G_l_512_n_20_0_0_104.phy,G_l_512_n_20_0_0_104.tre,0.159107
G_l_512_n_20_0_0_105.phy,G_l_512_n_20_0_0_105.tre,0.158229
G_l_512_n_20_0_0_111.phy,G_l_512_n_20_0_0_111.tre,0.157575
G_l_512_n_20_0_0_115.phy,G_l_512_n_20_0_0_115.tre,0.157883
G_l_512_n_20_0_0_120.phy,G_l_512_n_20_0_0_120.tre,0.157914
G_l_512_n_20_0_0_14.phy,G_l_512_n_20_0_0_14.tre,0.159362
G_l_512_n_20_0_0_27.phy,G_l_512_n_20_0_0_27.tre,0.158612
G_l_512_n_20_0_0_35.phy,G_l_512_n_20_0_0_35.tre,0.157855
G_l_512_n_20_0_0_37.phy,G_l_512_n_20_0_0_37.tre,0.158997
G_l_512_n_20_0_0_4.phy,G_l_512_n_20_0_0_4.tre,0.159188
G_l_512_n_20_0_0_45.phy,G_l_512_n_20_0_0_45.tre,0.161745
G_l_512_n_20_0_0_47.phy,G_l_512_n_20_0_0_47.tre,0.162446
G_l_512_n_20_0_0_51.phy,G_l_512_n_20_0_0_51.tre,0.158235
G_l_512_n_20_0_0_54.phy,G_l_512_n_20_0_0_54.tre,0.157953
