dataset	gene	tree_file	rf	nrf
WickD3b	6123	RAxML_bestTree.6123	8.0	0.3333333333333333
WickD3b	6128	RAxML_bestTree.6128	20.0	0.3225806451612903
WickD3b	6130	RAxML_bestTree.6130	46.0	0.5476190476190477
WickD3b	6131	RAxML_bestTree.6131	12.0	0.24
WickD3b	6134	RAxML_bestTree.6134	64.0	0.5818181818181818
WickD3b	6140	RAxML_bestTree.6140	64.0	0.4155844155844156
WickD3b	6145	RAxML_bestTree.6145	26.0	0.3170731707317073
WickD3b	6150	RAxML_bestTree.6150	28.0	0.22950819672131148
WickD3b	6154	RAxML_bestTree.6154	30.0	0.25
WickD3b	6155	RAxML_bestTree.6155	26.0	0.26
WickD3b	6159	RAxML_bestTree.6159	22.0	0.5
WickD3b	6162	RAxML_bestTree.6162	36.0	0.6206896551724138
WickD3b	6170	RAxML_bestTree.6170	16.0	0.4
WickD3b	6171	RAxML_bestTree.6171	28.0	0.3783783783783784
WickD3b	6175	RAxML_bestTree.6175	34.0	0.4722222222222222
WickD3b	6176	RAxML_bestTree.6176	6.0	0.3333333333333333
WickD3b	6178	RAxML_bestTree.6178	66.0	0.7674418604651163
WickD3b	6179	RAxML_bestTree.6179	46.0	0.4107142857142857
WickD3b	6180	RAxML_bestTree.6180	10.0	0.5
WickD3b	6189	RAxML_bestTree.6189	74.0	0.4457831325301205
WickD3b	6191	RAxML_bestTree.6191	86.0	0.6825396825396826
WickD3b	6193	RAxML_bestTree.6193	60.0	0.5357142857142857
WickD3b	6194	RAxML_bestTree.6194	14.0	0.23333333333333334
WickD3b	6195	RAxML_bestTree.6195	52.0	0.65
WickD3b	6201	RAxML_bestTree.6201	0.0	0.0
WickD3b	6202	RAxML_bestTree.6202	90.0	0.5769230769230769
WickD3b	6207	RAxML_bestTree.6207	14.0	0.3888888888888889
WickD3b	6210	RAxML_bestTree.6210	24.0	0.2033898305084746
WickD3b	6214	RAxML_bestTree.6214	26.0	0.21666666666666667
WickD3b	6215	RAxML_bestTree.6215	32.0	0.36363636363636365
WickD3b	6224	RAxML_bestTree.6224	30.0	0.32608695652173914
WickD3b	6226	RAxML_bestTree.6226	74.0	0.5692307692307692
WickD3b	6230	RAxML_bestTree.6230	62.0	0.5166666666666667
WickD3b	6233	RAxML_bestTree.6233	56.0	0.4745762711864407
WickD3b	6240	RAxML_bestTree.6240	46.0	0.3709677419354839
WickD3b	6246	RAxML_bestTree.6246	88.0	0.5789473684210527
WickD3b	6248	RAxML_bestTree.6248	50.0	0.5555555555555556
WickD3b	6249	RAxML_bestTree.6249	54.0	0.36486486486486486
WickD3b	6251	RAxML_bestTree.6251	56.0	0.5
WickD3b	6253	RAxML_bestTree.6253	80.0	0.5970149253731343
WickD3b	6262	RAxML_bestTree.6262	4.0	0.2857142857142857
WickD3b	6271	RAxML_bestTree.6271	38.0	0.4634146341463415
WickD3b	6280	RAxML_bestTree.6280	52.0	0.4262295081967213
WickD3b	6284	RAxML_bestTree.6284	30.0	0.38461538461538464
WickD3b	6290	RAxML_bestTree.6290	12.0	0.2857142857142857
WickD3b	6294	RAxML_bestTree.6294	18.0	0.3333333333333333
WickD3b	6296	RAxML_bestTree.6296	6.0	1.0
WickD3b	6299	RAxML_bestTree.6299	14.0	0.20588235294117646
WickD3b	6301	RAxML_bestTree.6301	10.0	0.2
WickD3b	6302	RAxML_bestTree.6302	4.0	0.1111111111111111
WickD3b	6308	RAxML_bestTree.6308	44.0	0.44
WickD3b	6312	RAxML_bestTree.6312	72.0	0.6101694915254238
WickD3b	6313	RAxML_bestTree.6313	48.0	0.375
WickD3b	6314	RAxML_bestTree.6314	26.0	0.41935483870967744
WickD3b	6315	RAxML_bestTree.6315	10.0	0.16129032258064516
WickD3b	6318	RAxML_bestTree.6318	12.0	0.17647058823529413
WickD3b	6321	RAxML_bestTree.6321	22.0	0.34375
WickD3b	6322	RAxML_bestTree.6322	22.0	0.4782608695652174
WickD3b	6324	RAxML_bestTree.6324	34.0	0.38636363636363635
WickD3b	6331	RAxML_bestTree.6331	26.0	0.23214285714285715
WickD3b	6334	RAxML_bestTree.6334	50.0	0.4166666666666667
WickD3b	6337	RAxML_bestTree.6337	50.0	0.78125
WickD3b	6339	RAxML_bestTree.6339	34.0	0.34
WickD3b	6341	RAxML_bestTree.6341	36.0	0.36
WickD3b	6342	RAxML_bestTree.6342	74.0	0.46835443037974683
WickD3b	6349	RAxML_bestTree.6349	32.0	0.3404255319148936
WickD3b	6350	RAxML_bestTree.6350	64.0	0.5818181818181818
WickD3b	6352	RAxML_bestTree.6352	62.0	0.5081967213114754
WickD3b	6353	RAxML_bestTree.6353	4.0	0.2857142857142857
WickD3b	6354	RAxML_bestTree.6354	98.0	0.7101449275362319
WickD3b	6358	RAxML_bestTree.6358	30.0	0.6521739130434783
WickD3b	6360	RAxML_bestTree.6360	12.0	0.6
WickD3b	6361	RAxML_bestTree.6361	44.0	0.3283582089552239
