dataset	gene	tree_file	rf	nrf
WickD3b	6337	6337.treefile	50.0	0.78125
WickD3b	6339	6339.treefile	34.0	0.34
WickD3b	6341	6341.treefile	36.0	0.36
WickD3b	6342	6342.treefile	72.0	0.45569620253164556
WickD3b	6349	6349.treefile	30.0	0.3191489361702128
WickD3b	6350	6350.treefile	62.0	0.5636363636363636
WickD3b	6352	6352.treefile	56.0	0.45901639344262296
WickD3b	6353	6353.treefile	4.0	0.2857142857142857
WickD3b	6354	6354.treefile	102.0	0.7391304347826086
WickD3b	6358	6358.treefile	30.0	0.6521739130434783
WickD3b	6360	6360.treefile	12.0	0.6
WickD3b	6361	6361.treefile	34.0	0.2537313432835821
WickD3b	6366	6366.treefile	56.0	0.37333333333333335
WickD3b	6374	6374.treefile	36.0	0.33962264150943394
WickD3b	6376	6376.treefile	16.0	0.25806451612903225
WickD3b	6379	6379.treefile	32.0	0.4444444444444444
WickD3b	6380	6380.treefile	62.0	0.3924050632911392
WickD3b	6381	6381.treefile	52.0	0.4126984126984127
WickD3b	6383	6383.treefile	48.0	0.375
WickD3b	6387	6387.treefile	22.0	0.21568627450980393
WickD3b	6390	6390.treefile	58.0	0.3815789473684211
WickD3b	6392	6392.treefile	74.0	0.5522388059701493
WickD3b	6401	6401.treefile	32.0	0.35555555555555557
WickD3b	6403	6403.treefile	54.0	0.4909090909090909
WickD3b	6405	6405.treefile	46.0	0.359375
WickD3b	6406	6406.treefile	84.0	0.5915492957746479
WickD3b	6407	6407.treefile	64.0	0.48484848484848486
WickD3b	6410	6410.treefile	42.0	0.7241379310344828
WickD3b	6411	6411.treefile	28.0	0.2857142857142857
WickD3b	6412	6412.treefile	56.0	0.5
WickD3b	6413	6413.treefile	24.0	0.35294117647058826
WickD3b	6414	6414.treefile	42.0	0.3333333333333333
WickD3b	6416	6416.treefile	50.0	0.44642857142857145
WickD3b	6418	6418.treefile	34.0	0.3617021276595745
WickD3b	6421	6421.treefile	56.0	0.5
WickD3b	6422	6422.treefile	58.0	0.4393939393939394
WickD3b	6425	6425.treefile	24.0	0.3076923076923077
WickD3b	6427	6427.treefile	32.0	0.5714285714285714
WickD3b	6430	6430.treefile	24.0	0.20689655172413793
WickD3b	6431	6431.treefile	38.0	0.27941176470588236
WickD3b	6433	6433.treefile	52.0	0.5777777777777777
WickD3b	6434	6434.treefile	26.0	0.3939393939393939
WickD3b	6436	6436.treefile	54.0	0.7941176470588235
WickD3b	6437	6437.treefile	16.0	0.2222222222222222
WickD3b	6438	6438.treefile	16.0	0.4
WickD3b	6440	6440.treefile	68.0	0.7391304347826086
WickD3b	6442	6442.treefile	40.0	0.3076923076923077
WickD3b	6445	6445.treefile	12.0	0.5
WickD3b	6450	6450.treefile	14.0	0.2413793103448276
WickD3b	6451	6451.treefile	66.0	0.6111111111111112
WickD3b	6458	6458.treefile	48.0	0.7058823529411765
WickD3b	6459	6459.treefile	56.0	0.6666666666666666
WickD3b	6460	6460.treefile	62.0	0.4305555555555556
WickD3b	6472	6472.treefile	10.0	0.29411764705882354
WickD3b	6476	6476.treefile	80.0	0.8163265306122449
WickD3b	6477	6477.treefile	10.0	0.25
WickD3b	6479	6479.treefile	34.0	0.3148148148148148
WickD3b	6486	6486.treefile	48.0	0.6153846153846154
WickD3b	6490	6490.treefile	36.0	0.42857142857142855
WickD3b	6491	6491.treefile	38.0	0.6333333333333333
WickD3b	6493	6493.treefile	42.0	0.525
WickD3b	6494	6494.treefile	58.0	0.38666666666666666
WickD3b	6495	6495.treefile	78.0	0.609375
WickD3b	6500	6500.treefile	28.0	0.8235294117647058
WickD3b	6502	6502.treefile	66.0	0.5238095238095238
WickD3b	6507	6507.treefile	16.0	0.23529411764705882
WickD3b	6510	6510.treefile	14.0	0.22580645161290322
WickD3b	6511	6511.treefile	52.0	0.7428571428571429
WickD3b	6512	6512.treefile	62.0	0.543859649122807
WickD3b	6514	6514.treefile	22.0	0.2894736842105263
WickD3b	6515	6515.treefile	60.0	0.5660377358490566
WickD3b	6518	6518.treefile	52.0	0.3611111111111111
WickD3b	6524	6524.treefile	50.0	0.423728813559322
WickD3b	6525	6525.treefile	48.0	0.39344262295081966
WickD3b	6526	6526.treefile	56.0	0.4
WickD3b	6529	6529.treefile	56.0	0.5714285714285714
WickD3b	6531	6531.treefile	54.0	0.46551724137931033
WickD3b	6532	6532.treefile	58.0	0.453125
WickD3b	6533	6533.treefile	20.0	0.3448275862068966
WickD3b	6534	6534.treefile	60.0	0.39473684210526316
WickD3b	6537	6537.treefile	30.0	0.36585365853658536
WickD3b	6539	6539.treefile	92.0	0.7931034482758621
WickD3b	6551	6551.treefile	32.0	0.5517241379310345
WickD3b	6552	6552.treefile	32.0	0.27586206896551724
WickD3b	6554	6554.treefile	20.0	0.47619047619047616
WickD3b	6558	6558.treefile	38.0	0.36538461538461536
WickD3b	6560	6560.treefile	36.0	0.33962264150943394
WickD3b	6563	6563.treefile	58.0	0.4915254237288136
WickD3b	6564	6564.treefile	68.0	0.53125
WickD3b	6572	6572.treefile	48.0	0.42105263157894735
WickD3b	6575	6575.treefile	82.0	0.6029411764705882
WickD3b	6576	6576.treefile	30.0	0.2777777777777778
WickD3b	6578	6578.treefile	58.0	0.4461538461538462
WickD3b	6580	6580.treefile	32.0	0.42105263157894735
WickD3b	6581	6581.treefile	60.0	0.75
WickD3b	6586	6586.treefile	56.0	0.5185185185185185
WickD3b	6587	6587.treefile	8.0	0.18181818181818182
WickD3b	6588	6588.treefile	80.0	0.6153846153846154
WickD3b	6591	6591.treefile	6.0	0.23076923076923078
WickD3b	6592	6592.treefile	36.0	0.4864864864864865
WickD3b	6594	6594.treefile	30.0	0.5555555555555556
WickD3b	6596	6596.treefile	24.0	0.2608695652173913
WickD3b	6600	6600.treefile	88.0	0.5789473684210527
WickD3b	6602	6602.treefile	12.0	0.4
WickD3b	6603	6603.treefile	6.0	0.75
WickD3b	6604	6604.treefile	42.0	0.3181818181818182
WickD3b	6608	6608.treefile	62.0	0.6888888888888889
WickD3b	6609	6609.treefile	16.0	0.27586206896551724
WickD3b	6614	6614.treefile	54.0	0.46551724137931033
WickD3b	6616	6616.treefile	98.0	0.6049382716049383
WickD3b	6618	6618.treefile	22.0	0.39285714285714285
WickD3b	6619	6619.treefile	64.0	0.4155844155844156
WickD3b	6635	6635.treefile	14.0	0.4666666666666667
WickD3b	6643	6643.treefile	86.0	0.5657894736842105
WickD3b	6646	6646.treefile	46.0	0.41818181818181815
WickD3b	6647	6647.treefile	66.0	0.515625
WickD3b	6655	6655.treefile	2.0	0.0625
WickD3b	6659	6659.treefile	24.0	0.2553191489361702
WickD3b	6660	6660.treefile	22.0	0.4583333333333333
WickD3b	6661	6661.treefile	26.0	0.40625
WickD3b	6663	6663.treefile	26.0	0.3170731707317073
WickD3b	6664	6664.treefile	28.0	0.2692307692307692
WickD3b	6668	6668.treefile	26.0	0.24074074074074073
WickD3b	6675	6675.treefile	38.0	0.3584905660377358
WickD3b	6677	6677.treefile	76.0	0.4523809523809524
WickD3b	6680	6680.treefile	56.0	0.717948717948718
WickD3b	6681	6681.treefile	20.0	0.5263157894736842
WickD3b	6682	6682.treefile	74.0	0.7254901960784313
WickD3b	6684	6684.treefile	58.0	0.4915254237288136
WickD3b	6685	6685.treefile	90.0	0.75
WickD3b	6687	6687.treefile	90.0	0.6
WickD3b	6689	6689.treefile	4.0	0.11764705882352941
WickD3b	6690	6690.treefile	72.0	0.6101694915254238
WickD3b	6691	6691.treefile	86.0	0.6615384615384615
WickD3b	6692	6692.treefile	22.0	0.4230769230769231
WickD3b	6694	6694.treefile	60.0	0.5263157894736842
